"","displayName","defensiveTeam","color","logo"
"1","Jalen Thompson","ARI","#97233F","arizona-cardinals.png"
"2","Ben Niemann","ARI","#97233F","arizona-cardinals.png"
"5","Isaiah Simmons","ARI","#97233F","arizona-cardinals.png"
"7","Michael Dogbe","ARI","#97233F","arizona-cardinals.png"
"8","J.J. Watt","ARI","#97233F","arizona-cardinals.png"
"10","Zaven Collins","ARI","#97233F","arizona-cardinals.png"
"11","Tanner Vallejo","ARI","#97233F","arizona-cardinals.png"
"15","Marco Wilson","ARI","#97233F","arizona-cardinals.png"
"16","Victor Dimukeje","ARI","#97233F","arizona-cardinals.png"
"18","Budda Baker","ARI","#97233F","arizona-cardinals.png"
"26","Jesse Luketa","ARI","#97233F","arizona-cardinals.png"
"51","Dennis Gardeck","ARI","#97233F","arizona-cardinals.png"
"54","Byron Murphy","ARI","#97233F","arizona-cardinals.png"
"71","Jace Whittaker","ARI","#97233F","arizona-cardinals.png"
"74","Markus Golden","ARI","#97233F","arizona-cardinals.png"
"93","Cameron Thomas","ARI","#97233F","arizona-cardinals.png"
"122","Christian Matthew","ARI","#97233F","arizona-cardinals.png"
"140","Myjai Sanders","ARI","#97233F","arizona-cardinals.png"
"146","Trayvon Mullen","ARI","#97233F","arizona-cardinals.png"
"162","Zach Allen","ARI","#97233F","arizona-cardinals.png"
"174","Ezekiel Turner","ARI","#97233F","arizona-cardinals.png"
"177","Antwaun Woods","ARI","#97233F","arizona-cardinals.png"
"184","Antonio Hamilton","ARI","#97233F","arizona-cardinals.png"
"260","Rashard Lawrence","ARI","#97233F","arizona-cardinals.png"
"293","Nick Vigil","ARI","#97233F","arizona-cardinals.png"
"296","Leki Fotu","ARI","#97233F","arizona-cardinals.png"
"360","Jonathan Ledbetter","ARI","#97233F","arizona-cardinals.png"
"438","Chris Banjo","ARI","#97233F","arizona-cardinals.png"
"441","Devon Kennard","ARI","#97233F","arizona-cardinals.png"
"604","Adetokunbo Ogundeji","ATL","#A71930","atlanta-falcons.png"
"605","Rashaan Evans","ATL","#A71930","atlanta-falcons.png"
"606","Richie Grant","ATL","#A71930","atlanta-falcons.png"
"610","Jaylinn Hawkins","ATL","#A71930","atlanta-falcons.png"
"614","Casey Hayward","ATL","#A71930","atlanta-falcons.png"
"621","A.J. Terrell","ATL","#A71930","atlanta-falcons.png"
"625","Grady Jarrett","ATL","#A71930","atlanta-falcons.png"
"629","Mykal Walker","ATL","#A71930","atlanta-falcons.png"
"632","Ta'Quon Graham","ATL","#A71930","atlanta-falcons.png"
"645","Arnold Ebiketie","ATL","#A71930","atlanta-falcons.png"
"646","Mike Ford","ATL","#A71930","atlanta-falcons.png"
"666","Quinton Bell","ATL","#A71930","atlanta-falcons.png"
"670","Dean Marlowe","ATL","#A71930","atlanta-falcons.png"
"685","Lorenzo Carter","ATL","#A71930","atlanta-falcons.png"
"731","Troy Andersen","ATL","#A71930","atlanta-falcons.png"
"732","DeAngelo Malone","ATL","#A71930","atlanta-falcons.png"
"784","Timmy Horne","ATL","#A71930","atlanta-falcons.png"
"788","Matt Dickerson","ATL","#A71930","atlanta-falcons.png"
"799","Anthony Rush","ATL","#A71930","atlanta-falcons.png"
"822","Jalen Dalton","ATL","#A71930","atlanta-falcons.png"
"837","Darren Hall","ATL","#A71930","atlanta-falcons.png"
"861","Dee Alford","ATL","#A71930","atlanta-falcons.png"
