"","masterId","gameId.x","playId.x","nflId","displayName","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","week_num","fieldPlay","playId.y","gameId.y","playDescription","prePenaltyPlayResult","down","yardsToGo","absoluteYardlineNumber"
"1","2022091103-2462",2022091103,2462,43299,"Eli Apple",1,2022-09-11 15:03:47.599999,20,"CIN","right",52.17,4.48,8.18,1.27,0.81,64.04,108.12,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"2","2022091103-2462",2022091103,2462,43299,"Eli Apple",2,2022-09-11 15:03:47.7,20,"CIN","right",52.95,4.24,8.23,1.23,0.82,63.24,107.13,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"3","2022091103-2462",2022091103,2462,43299,"Eli Apple",3,2022-09-11 15:03:47.799999,20,"CIN","right",53.74,4,8.25,1.23,0.83,66.56,106.17,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"4","2022091103-2462",2022091103,2462,43299,"Eli Apple",4,2022-09-11 15:03:47.9,20,"CIN","right",54.53,3.78,8.19,1.31,0.82,67.82,105.51,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"5","2022091103-2462",2022091103,2462,43299,"Eli Apple",5,2022-09-11 15:03:48,20,"CIN","right",55.32,3.57,8.1,1.54,0.82,79.49,104.7,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"6","2022091103-2462",2022091103,2462,43299,"Eli Apple",6,2022-09-11 15:03:48.099999,20,"CIN","right",56.1,3.37,7.96,1.8,0.8,85.27,104.19,"run",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"7","2022091103-2462",2022091103,2462,43299,"Eli Apple",7,2022-09-11 15:03:48.2,20,"CIN","right",56.86,3.18,7.71,2.31,0.78,93.9,103.8,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"8","2022091103-2462",2022091103,2462,43299,"Eli Apple",8,2022-09-11 15:03:48.299999,20,"CIN","right",57.59,3,7.37,2.87,0.75,111.41,103.88,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"9","2022091103-2462",2022091103,2462,43299,"Eli Apple",9,2022-09-11 15:03:48.4,20,"CIN","right",58.28,2.82,6.97,3.52,0.72,131.59,104.58,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"10","2022091103-2462",2022091103,2462,43299,"Eli Apple",10,2022-09-11 15:03:48.5,20,"CIN","right",58.93,2.64,6.48,4.34,0.67,151.35,105.11,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"11","2022091103-2462",2022091103,2462,43299,"Eli Apple",11,2022-09-11 15:03:48.599999,20,"CIN","right",59.53,2.48,5.91,4.82,0.62,170.39,105.75,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
