"","defensiveTeam","displayName","week_num","position","tot_tackles","tot_tackles_forloss","tot_ffumbles","tot_missed_tackles","tot_prevents","tot_assists","tot_ips"
"1","ARI","Antonio Hamilton",5,"CB",0,0,0,1,0,0,0
"2","ARI","Antonio Hamilton",7,"CB",6,0,0,1,0,0,0
"3","ARI","Antonio Hamilton",8,"CB",3,0,0,0,1,0,0
"4","ARI","Antonio Hamilton",9,"CB",1,0,0,1,0,1,0
"5","ARI","Antwaun Woods",8,"DT",2,1,0,0,0,0,0
"6","ARI","Ben Niemann",2,"ILB",1,0,0,0,0,0,0
"7","ARI","Ben Niemann",3,"ILB",2,1,0,0,0,0,0
"8","ARI","Ben Niemann",4,"ILB",1,0,0,0,0,2,0
"9","ARI","Ben Niemann",5,"ILB",1,0,0,0,0,3,0
"10","ARI","Ben Niemann",6,"ILB",1,0,0,0,0,0,0
"11","ARI","Ben Niemann",7,"ILB",3,0,0,0,0,1,0
"12","ARI","Ben Niemann",8,"ILB",2,0,0,1,0,2,0
"13","ARI","Ben Niemann",9,"ILB",3,0,0,0,0,0,0
"14","ARI","Budda Baker",1,"SS",7,0,0,1,1,6,0
"15","ARI","Budda Baker",2,"SS",5,0,0,1,0,2,0
"16","ARI","Budda Baker",3,"SS",6,1,1,0,0,3,0
"17","ARI","Budda Baker",4,"SS",2,0,0,1,0,3,0
"18","ARI","Budda Baker",5,"SS",3,0,0,1,0,4,0
"19","ARI","Budda Baker",6,"SS",4,0,0,2,0,1,0
"20","ARI","Budda Baker",7,"SS",4,1,0,1,0,1,0
"21","ARI","Budda Baker",8,"SS",8,0,0,2,0,2,0
"22","ARI","Budda Baker",9,"SS",5,0,0,2,0,4,0
"23","ARI","Byron Murphy",1,"CB",3,0,0,0,0,1,0
"24","ARI","Byron Murphy",2,"CB",1,0,0,0,0,0,0
"25","ARI","Byron Murphy",3,"CB",2,0,0,0,0,2,0
"26","ARI","Byron Murphy",4,"CB",1,0,0,0,0,0,0
"27","ARI","Byron Murphy",5,"CB",7,3,0,0,0,1,0
"28","ARI","Byron Murphy",6,"CB",4,0,0,1,0,1,0
"29","ARI","Byron Murphy",7,"CB",5,0,0,1,2,0,0
"30","ARI","Byron Murphy",8,"CB",3,0,0,0,0,0,0
"31","ARI","Byron Murphy",9,"CB",3,0,0,1,0,1,0
"32","ARI","Cameron Thomas",1,"OLB",0,0,0,0,0,1,0
"33","ARI","Cameron Thomas",3,"OLB",0,0,0,0,0,1,0
"34","ARI","Cameron Thomas",4,"OLB",0,0,0,0,0,1,0
"35","ARI","Cameron Thomas",5,"OLB",0,0,0,0,0,3,0
"36","ARI","Cameron Thomas",6,"OLB",0,0,0,0,0,1,0
"37","ARI","Cameron Thomas",7,"OLB",1,0,0,0,0,0,0
"38","ARI","Cameron Thomas",9,"OLB",1,0,0,0,0,0,0
"39","ARI","Chris Banjo",6,"FS",1,0,0,0,0,0,0
"40","ARI","Christian Matthew",1,"CB",0,0,0,0,0,1,0
"41","ARI","Christian Matthew",6,"CB",0,0,0,0,0,1,0
"42","ARI","Dennis Gardeck",1,"OLB",2,0,1,0,0,0,0
"43","ARI","Dennis Gardeck",2,"OLB",3,0,0,1,1,2,0
"44","ARI","Dennis Gardeck",3,"OLB",2,0,0,0,1,0,0
"45","ARI","Dennis Gardeck",4,"OLB",1,0,0,0,0,0,0
"46","ARI","Dennis Gardeck",5,"OLB",1,0,0,1,0,0,0
"47","ARI","Dennis Gardeck",6,"OLB",0,0,0,0,0,1,0
"48","ARI","Devon Kennard",1,"OLB",1,0,0,0,0,0,0
"49","ARI","Devon Kennard",2,"OLB",0,0,0,0,0,1,0
"50","ARI","Devon Kennard",4,"OLB",0,0,0,1,0,1,0
"51","ARI","Ezekiel Turner",1,"ILB",1,0,0,0,0,0,0
"52","ARI","Ezekiel Turner",9,"ILB",1,1,0,0,0,1,0
"53","ARI","Isaiah Simmons",1,"DB",3,0,0,1,0,0,0
"54","ARI","Isaiah Simmons",2,"DB",2,0,1,0,0,0,0
"55","ARI","Isaiah Simmons",3,"DB",0,0,0,0,0,1,0
"56","ARI","Isaiah Simmons",4,"DB",3,0,0,1,0,0,0
"57","ARI","Isaiah Simmons",5,"DB",6,0,0,0,1,7,0
"58","ARI","Isaiah Simmons",6,"DB",1,0,0,2,0,1,0
"59","ARI","Isaiah Simmons",7,"DB",4,0,0,2,0,1,0
"60","ARI","Isaiah Simmons",8,"DB",4,0,0,0,1,0,0
"61","ARI","Isaiah Simmons",9,"DB",5,0,0,0,0,2,0
"62","ARI","J.J. Watt",2,"DE",1,0,0,0,0,0,0
"63","ARI","J.J. Watt",4,"DE",1,0,0,1,0,2,0
"64","ARI","J.J. Watt",6,"DE",2,2,0,0,1,0,1
"65","ARI","J.J. Watt",7,"DE",1,0,0,0,0,1,0
"66","ARI","J.J. Watt",9,"DE",2,0,0,0,0,1,0
"67","ARI","Jace Whittaker",2,"CB",3,0,0,2,0,2,0
"68","ARI","Jace Whittaker",3,"CB",3,0,0,2,1,0,0
"69","ARI","Jalen Thompson",1,"FS",9,0,0,0,0,0,0
"70","ARI","Jalen Thompson",2,"FS",7,0,0,0,0,3,0
"71","ARI","Jalen Thompson",3,"FS",5,0,0,0,0,2,0
"72","ARI","Jalen Thompson",4,"FS",1,0,0,0,0,1,0
"73","ARI","Jalen Thompson",5,"FS",4,0,0,1,0,1,0
"74","ARI","Jalen Thompson",6,"FS",5,0,0,0,1,2,0
"75","ARI","Jalen Thompson",7,"FS",1,0,0,0,0,3,0
"76","ARI","Jalen Thompson",8,"FS",5,0,0,0,0,1,0
"77","ARI","Jalen Thompson",9,"FS",6,0,0,1,1,0,0
"78","ARI","Jesse Luketa",6,"OLB",0,0,0,1,0,0,0
"79","ARI","Jesse Luketa",7,"OLB",1,1,0,0,0,0,0
"80","ARI","Jonathan Ledbetter",1,"DE",0,0,0,0,0,1,0
"81","ARI","Jonathan Ledbetter",5,"DE",1,0,0,0,0,1,0
"82","ARI","Jonathan Ledbetter",6,"DE",0,0,0,1,0,0,0
"83","ARI","Jonathan Ledbetter",8,"DE",0,0,0,1,0,0,0
"84","ARI","Jonathan Ledbetter",9,"DE",0,0,0,0,0,2,0
"85","ARI","Leki Fotu",1,"DT",2,0,0,0,0,0,0
"86","ARI","Leki Fotu",2,"DT",0,0,0,0,0,1,0
"87","ARI","Leki Fotu",3,"DT",0,0,0,0,0,1,0
"88","ARI","Leki Fotu",5,"DT",1,0,0,0,0,3,0
"89","ARI","Leki Fotu",6,"DT",0,0,0,1,0,1,0
"90","ARI","Leki Fotu",7,"DT",1,0,0,0,0,1,0
"91","ARI","Leki Fotu",8,"DT",3,0,0,1,0,2,0
"92","ARI","Leki Fotu",9,"DT",1,0,0,0,0,1,0
"93","ARI","Marco Wilson",1,"CB",4,0,1,3,0,1,0
"94","ARI","Marco Wilson",2,"CB",1,0,0,0,1,3,0
"95","ARI","Marco Wilson",3,"CB",2,0,0,0,0,0,0
"96","ARI","Marco Wilson",4,"CB",1,0,0,1,0,1,0
"97","ARI","Marco Wilson",5,"CB",6,1,0,0,2,1,1
"98","ARI","Marco Wilson",6,"CB",2,0,0,2,0,2,0
"99","ARI","Marco Wilson",7,"CB",2,0,0,1,0,1,0
"100","ARI","Marco Wilson",8,"CB",4,0,0,0,0,0,0
"101","ARI","Marco Wilson",9,"CB",4,0,0,0,0,1,0
"102","ARI","Markus Golden",1,"OLB",1,0,0,0,0,0,0
"103","ARI","Markus Golden",2,"OLB",0,0,0,0,0,2,0
