"","nflId","height","weight","birthDate","collegeName","position","displayName"
"1",25511,"6-4",225,"1977-08-03","Michigan","QB","Tom Brady"
"2",29550,"6-4",328,"1982-01-22","Arkansas","T","Jason Peters"
"3",29851,"6-2",225,"1983-12-02","California","QB","Aaron Rodgers"
"4",30842,"6-6",267,"1984-05-19","UCLA","TE","Marcedes Lewis"
"5",33084,"6-4",217,"1985-05-17","Boston College","QB","Matt Ryan"
"6",33099,"6-6",245,"1985-01-16","Delaware","QB","Joe Flacco"
"7",33107,"6-4",315,"1985-08-30","Virginia Tech","T","Duane Brown"
"8",33130,"5-10",175,"1986-12-01","California","WR","DeSean Jackson"
"9",33131,"6-8",300,"1986-09-01","Miami","DE","Calais Campbell"
"10",33138,"6-3",222,"1985-07-02","Michigan","QB","Chad Henne"
"11",34452,"6-3",220,"1988-02-07","Georgia","QB","Matthew Stafford"
"12",34754,"6-0",229,"1986-10-07","Missouri","QB","Chase Daniel"
"13",34843,"6-2",215,"1985-10-13","Michigan State","QB","Brian Hoyer"
"14",35443,"6-5",320,"1988-07-19","Oklahoma","T","Trent Williams"
"15",35449,"6-3",304,"1987-05-12","California","NT","Tyson Alualu"
"16",35452,"6-2",265,"1988-04-03","Michigan","DE","Brandon Graham"
"17",35454,"6-5",275,"1989-01-01","South Florida","DE","Jason Pierre-Paul"
"18",35459,"5-10",185,"1988-04-10","Alabama","SS","Kareem Jackson"
"19",35466,"5-10",195,"1987-08-13","Rutgers","FS","Devin McCourty"
"20",35470,"6-2",254,"1988-08-13","Texas Christian","DE","Jerry Hughes"
"21",35472,"6-5",325,"1988-06-06","Indiana","G","Rodger Saffold"
"22",35493,"6-6",285,"1989-02-28","Florida","OLB","Carlos Dunlap"
"23",35522,"6-3",335,"1988-06-08","Kentucky","DT","Corey Peters"
"24",35562,"6-4",330,"1987-03-25","Louisiana State","NT","Al Woods"
"25",36785,"6-8",330,"1985-10-27","Texas State","T","Ty Nsekhe"
"26",37075,"6-3",250,"1989-03-26","Texas A&amp;M","OLB","Von Miller"
"27",37077,"6-4",210,"1988-07-31","Georgia","WR","A.J. Green"
"28",37078,"6-1",203,"1990-07-11","Louisiana State","CB","Patrick Peterson"
"29",37079,"6-3",220,"1989-02-08","Alabama","WR","Julio Jones"
"30",37084,"6-5",288,"1989-03-22","Wisconsin","DE","J.J. Watt"
"31",37087,"6-4",257,"1990-05-18","North Carolina","OLB","Robert Quinn"
"32",37097,"6-4",287,"1989-07-10","California","DE","Cameron Jordan"
"33",37101,"5-9",215,"1989-12-21","Alabama","RB","Mark Ingram"
"34",37104,"6-5",295,"1989-05-06","Ohio State","DT","Cameron Heyward"
"35",37110,"6-2",220,"1987-10-29","Texas Christian","QB","Andy Dalton"
"36",37118,"6-6",265,"1989-11-09","Notre Dame","TE","Kyle Rudolph"
"37",37130,"6-2",315,"1989-07-12","Florida State","C","Rodney Hudson"
"38",37139,"5-10",192,"1990-08-22","Kentucky","WR","Randall Cobb"
"39",37145,"6-3",270,"1989-01-21","Georgia","OLB","Justin Houston"
"40",37213,"6-6",335,"1988-05-06","Texas Christian","T","Marcus Cannon"
"41",37255,"6-1",215,"1989-08-03","Virginia Tech","QB","Tyrod Taylor"
"42",37266,"6-3",295,"1987-11-05","Cincinnati","C","Jason Kelce"
"43",37308,"6-4",315,"1990-03-17","Arizona State","DT","Lawrence Guy"
"44",37724,"5-10",199,"1989-06-18","Kansas","CB","Chris Harris"
"45",37778,"6-1",235,"1989-08-24","Auburn","ILB","Josh Bynes"
"46",37792,"6-1",250,"1989-05-12","Central Michigan","ILB","Nick Bellore"
"47",37841,"6-3",260,"1987-09-06","Troy","DE","Mario Addison"
